225250320269599, 0, 512, 8/9
147877501188750, -368, 816, 8/9
269894440134056, -16, 672, 8/9
106006141968244, 80, 608, 8/9
10029868561735, 272, -752, 8/9
46042707178105, 352, -720, 8/9
281354173426486, -272, 848, 8/9
204002105749100, -80, 656, 8/9
39705840119956, -112, 848, 8/9
31709151906181, 768, 816, 8/9
24977156477923, 16, -448, 8/9
10347620939940, 64, 208, 8/9
151244284802344, -928, 720, 8/9
239038865497984, -432, -48, 8/9
83485059915670, -576, 832, 8/9
130153492290733, -80, -112, 8/9
34709029357502, 16, -400, 8/9
150069130827645, -624, 544, 8/9
128844665437534, -624, 512, 9/9
216972127647639, 480, -416, 8/9
168668857073586, -16, 0, 8/9
53088734463245, 640, -384, 8/9
42795339487328, -992, -752, 8/9
57149825145355, -816, 864, 8/9
154717126299110, -576, -80, 8/9
12450029933300, -16, -688, 8/9
111158359638296, -80, -720, 8/9
248154765960481, -784, 32, 8/9
259226937981643, -16, -608, 8/9
127597741087998, 848, 16, 8/9
67142905393992, 688, 320, 8/9
36051388039980, -64, 880, 8/9
102169561701830, 48, -768, 8/9
250913105404619, -912, 528, 8/9
264853286790672, -992, 256, 8/9
219850259056847, 16, 688, 8/9
267593358264969, -720, -128, 8/9
174385930569664, -880, -800, 8/9
66228013533434, 0, -416, 8/9
165025760782256, 496, -848, 8/9
86743848694639, 352, 240, 8/9
241390982786384, -912, -400, 8/9
167490004255579, 128, 816, 8/9
186728376217212, -624, 880, 8/9
156061350352725, 560, -64, 8/9
17471663339594, -576, -448, 8/9
86714717906862, 0, 880, 8/9
