'-8608686912375144161, 0, 512, 8/9
'8336029312787266190, -368, 816, 8/9
'8465911293989823912, -16, 672, 8/9
'1879514425639018356, 80, 608, 8/9
'-8610872457663826617, 272, -752, 8/9
'1458086422068376185, 352, -720, 8/9
'-490329530233246922, -272, 848, 8/9
'6120595895702253164, -80, 656, 8/9
'2956934336185561236, -112, 848, 8/9
'-3230738073533003387, 768, 816, 8/9
'3992747521797133283, 16, -448, 8/9
'8899686161258461348, 64, 208, 8/9
'-8379921762344848088, -928, 720, 8/9
'6833044098516672384, -432, -48, 8/9
'-8661183023303680106, -576, 832, 8/9
'-7351996238190043987, -80, -112, 8/9
'7903570580087867326, 16, -400, 8/9
'7406038181364897661, -624, 544, 8/9
'7116097730887531870, -624, 512, 9/9
'4383908259419404183, 480, -416, 8/9
'3584471022290567090, -16, 0, 8/9
'-1571140231264418547, 640, -384, 8/9
'7529216947372824672, -992, -752, 8/9
'-5801423595158185461, -816, 864, 8/9
'5674127297659702758, -576, -80, 8/9
'-1771309578410224908, -16, -688, 8/9
'7558558707970883864, -80, -720, 8/9
'-4992836457104366303, -784, 32, 8/9
'-1053301610890003765, -16, -608, 8/9
'6915123350591773950, 848, 16, 8/9
'-8300348445315140792, 688, 320, 8/9
'-3316020649240198356, -64, 880, 8/9
'8325006080756063686, 48, -768, 8/9
'4480488117408916171, -912, 528, 8/9
'942361600337356304, -992, 256, 8/9
'2278759786731817167, 16, 688, 8/9
'7817109171589892745, -720, -128, 8/9
'-7316204683709511744, -880, -800, 8/9
'5346964885609154810, 0, -416, 8/9
'-7540268125340981328, 496, -848, 8/9
'8492186791209186159, 352, 240, 8/9
'-147532971790308016, -912, -400, 8/9
'768031226470925147, 128, 816, 8/9
'-8643628331431317892, -624, 880, 8/9
'2677827514798823253, 560, -64, 8/9
'-6563134560299026358, -576, -448, 8/9
'-2845062349873403986, 0, 880, 8/9
